平面,点数,法向X,法向Y,法向Z,平面常数d,正交RMSE,正交MAE,P95绝对距离,最大绝对距离,sigma3_over_sigma2,法向方差占比,奇异值比通过,平面判定通过
成功TCP平面,34,-0.000573212946822526,-0.006324715739112349,0.9999798344955447,-190.38272401607495,0.8148693622190663,0.6634584632749883,1.4715752658702153,1.88069634275779,0.014429144144664029,7.228682642208341e-05,False,False
高位世界坐标平面,34,-0.0013895279650640092,-0.005998942801545407,0.9999810407689228,-3.3584939546424817,0.8355349433715731,0.6858214096949031,1.4811375489547978,1.8682810205409308,0.014713647433660437,7.524587560692987e-05,False,False
