运行编号,任务序号,方块类别,托盘行,托盘列,高位检测像素X,高位检测像素Y,实测TCP位置X,实测TCP位置Y,实测TCP位置Z,affine_OOF三维误差
20260719_145127_668001,1,L_yellow,2.0,1.0,509.2535095214844,529.6647338867188,-171.5677032470703,-42.89163208007812,190.7348327636718,0.8671802069073974
20260719_145127_668001,2,T,1.5,4.0,634.4891967773438,549.3543701171875,-161.3328857421875,17.29730796813965,190.4459686279297,0.6195349241657556
20260719_145127_668001,3,line,1.0,7.5,781.968505859375,568.605712890625,-151.579849243164,87.47100830078125,190.0982055664062,0.9409756848303268
20260719_145127_668001,4,z_green,2.0,9.5,865.5595703125,525.5950927734375,-172.2363891601562,127.3415374755859,191.0497894287109,0.60433316357061
20260719_145127_668001,5,L_yellow,3.0,2.0,550.071044921875,487.2096252441406,-191.7130432128906,-23.18762969970703,190.6935577392578,0.6807529277248803
20260719_145127_668001,6,L_blue,3.0,4.0,633.8236694335938,486.59661865234375,-191.636489868164,17.10352516174316,191.5553283691406,1.214772633158425
20260719_145127_668001,7,L_yellow,2.0,7.0,760.1610717773438,526.89404296875,-171.8656768798828,77.16024780273438,192.3016510009765,1.7099536868824328
20260719_145127_668001,8,T,5.0,1.5,528.0736083984375,403.876220703125,-232.0867767333984,-33.33591842651367,189.0348815917968,1.0184175108268356
20260719_145127_668001,9,z_blue,5.0,3.5,611.3365478515625,402.6890258789063,-232.0787658691406,7.01741886138916,189.9097442626953,0.8631799495917679
20260719_145127_668001,10,z_green,4.5,5.0,674.5249633789062,422.929931640625,-222.139923095703,36.75831222534179,189.699737548828,0.8710496387325821
20260719_145127_668001,11,square,3.5,6.5,738.1994018554688,464.0882568359375,-202.1272583007812,66.950439453125,191.4087677001953,0.8019108090665038
20260719_145127_668001,12,L_blue,5.0,9.0,842.4749755859375,399.62884521484375,-232.3566284179687,116.6856536865234,192.3148040771484,1.2957962051122807
20260719_145127_668001,13,line,4.5,10.0,884.9165649414062,420.0105590820313,-222.5431976318359,136.8722839355468,189.2439575195312,1.9583092533484805
20260719_145127_668001,14,square,5.5,7.5,778.8758544921875,379.48638916015625,-242.4962158203125,86.87061309814453,190.6090393066406,0.5204172575562126
20260719_145127_668001,15,z_green,7.0,1.5,527.2200317382812,320.48016357421875,-271.9333190917968,-34.2231216430664,189.2391662597656,0.9469835010231277
20260719_145127_668001,16,z_blue,7.0,3.5,610.23583984375,319.20733642578125,-272.372314453125,5.99630546569824,190.0777435302734,0.3689695526603764
20260719_145127_668001,17,T,7.0,6.5,735.71875,317.2556457519531,-272.3896484375,66.48056030273438,189.8012237548828,1.0875196836701262
20260719_145127_668001,18,line,7.5,5.0,672.5753784179688,297.3886413574219,-282.4130859375,35.846378326416,190.017379760742,0.4976318967433612
20260719_145127_668001,19,L_blue,7.0,9.0,840.8792114257812,315.6290283203125,-272.832275390625,116.0561447143554,191.6246337890625,0.8000616857068551
20260719_145127_668001,20,L_blue,9.0,3.0,588.3612670898438,236.26495361328125,-312.1860961914062,-4.629951953887939,191.32080078125,1.2621205166363672
20260719_145127_668001,21,T,8.5,7.0,756.0214233398438,254.27566528320312,-302.5707092285156,76.19513702392578,189.9673614501953,0.88874025424551
20260719_145127_668001,22,square,8.5,9.5,861.16064453125,252.4290008544922,-302.8284606933593,126.1162185668945,190.7241058349609,0.2940079054052165
20260719_145127_668001,23,L_yellow,10.0,1.0,504.8252868652344,196.0233154296875,-331.9247741699218,-44.1291389465332,189.6317749023437,0.5218242765457712
20260719_145127_668001,24,T,10.0,4.5,650.304443359375,193.3720245361328,-332.3607482910156,25.23602485656738,190.321044921875,0.29982996123826755
20260719_145127_668001,25,z_blue,11.0,6.5,733.5804443359375,149.61138916015625,-352.4376220703125,65.68701934814453,190.2517700195312,0.6920181595884896
20260719_145127_668001,26,line,10.0,8.5,818.2548828125,190.03253173828125,-332.6734008789062,104.7628173828125,190.033981323242,1.3150658917928393
20260719_145127_668001,27,z_blue,11.0,2.5,566.4390869140625,153.24014282226562,-352.0854187011718,-14.95479869842529,189.6050872802734,0.6344577578169949
20260719_145127_668001,28,L_yellow,12.0,8.0,795.9614868164062,106.56511688232422,-371.8850708007812,94.71640014648438,192.1581573486328,1.8521951595339579
20260719_145127_668001,29,z_green,12.0,9.5,858.8574829101562,105.65296173095705,-373.0275573730468,124.9393463134765,190.202178955078,0.867930159368015
20260719_145127_668001,30,square,12.5,1.5,524.2689208984375,91.8775863647461,-381.4786071777343,-35.20034790039062,189.8516235351562,0.3069443306296602
20260719_145127_668001,31,z_green,13.0,3.5,606.907470703125,68.83535766601562,-392.0086364746093,4.130574703216552,190.6363220214843,0.6405591871780489
20260719_145127_668001,32,line,12.5,5.0,669.8211669921875,88.49667358398438,-382.2572937011718,34.42050170898437,190.5267028808593,0.3635133772764094
20260719_145127_668001,33,z_blue,13.0,6.5,732.439453125,66.26007080078125,-392.4526062011718,65.07250213623047,190.4447784423828,0.43446829674536447
20260719_145127_668001,34,L_blue,14.0,9.0,836.3265380859375,22.901275634765625,-412.4518432617187,114.9498214721679,192.3197174072265,1.8574934875825293
