运行编号,任务序号,方块类别,托盘行,托盘列,高位检测像素X,高位检测像素Y,实测TCP位置X,实测TCP位置Y,实测TCP位置Z,affine_预测TCP_X,affine_预测TCP_Y,affine_预测TCP_Z,affine_OOF三维误差,homography_预测TCP_X,homography_预测TCP_Y,homography_预测TCP_Z,homography_OOF三维误差,poly2_预测TCP_X,poly2_预测TCP_Y,poly2_预测TCP_Z,poly2_OOF三维误差,poly3_预测TCP_X,poly3_预测TCP_Y,poly3_预测TCP_Z,poly3_OOF三维误差
20260719_145127_668001,1,L_yellow,2.0,1.0,509.2535095214844,529.6647338867188,-171.5677032470703,-42.89163208007812,190.7348327636718,-171.91054457053843,-42.68804988939722,189.96475768303864,0.8671802069073974,-171.52700436904433,-42.89710198661827,189.9653828718494,0.7705449075658065,-171.4563959253094,-42.60291427250626,190.08066734444992,0.7236571619160611,-170.96295996945773,-42.84949274041652,189.28860090834334,1.5681443604246055
20260719_145127_668001,2,T,1.5,4.0,634.4891967773438,549.3543701171875,-161.3328857421875,17.29730796813965,190.4459686279297,-161.9247196626017,17.11648941900055,190.47530776894425,0.6195349241657556,-161.7456694492125,17.2262581573153,190.4786998289618,0.4201306891009993,-161.56174289224884,17.27493271920093,191.67897382553903,1.2542639531737043,-161.69131836493864,16.836500244067267,191.9328954785189,1.5974257925237674
20260719_145127_668001,3,line,1.0,7.5,781.968505859375,568.605712890625,-151.579849243164,87.47100830078125,190.0982055664062,-151.87662780402098,87.62161527649876,190.97836195258014,0.9409756848303268,-152.02613792060814,87.70226337863596,190.9810792954225,1.0159323383156775,-151.75800744494788,87.5443944163728,192.16255311767395,2.073320206637091,-151.74221736074009,87.36613151616298,192.57057602507115,2.4799149643558795
20260719_145127_668001,4,z_green,2.0,9.5,865.5595703125,525.5950927734375,-172.2363891601562,127.3415374755859,191.0497894287109,-171.8578239504007,127.78602893337488,191.2057839751113,0.60433316357061,-172.11125383068241,127.70797235353201,191.2060493758569,0.4175530403912398,-171.99793561012947,127.28226291159984,190.88974069531537,0.29323909445638136,-172.0216117208893,127.0369673750317,189.71839341828797,1.3825728303202514
20260719_145127_668001,5,L_yellow,3.0,2.0,550.071044921875,487.2096252441406,-191.7130432128906,-23.18762969970703,190.6935577392578,-192.1348682707506,-23.161705632105775,190.15987608144445,0.6807529277248803,-191.86348112607246,-23.198771740837614,190.16196681826065,0.5525799653350439,-191.84444191796277,-23.080963336234312,190.56272261017313,0.21391859151028617,-191.9028584590203,-23.189234605735386,190.4362872741165,0.3197194013829513
20260719_145127_668001,6,L_blue,3.0,4.0,633.8236694335938,486.59661865234375,-191.636489868164,17.10352516174316,191.5553283691406,-191.81469292191423,16.98186743704588,190.35987212990545,1.214772633158425,-191.69801755633307,17.06511690819608,190.3622529269981,1.1952781521451215,-191.66611259770562,17.12222961290306,190.5128920083471,1.0430248937120628,-191.70222349817578,17.20415999904826,190.36783164885335,1.1935647201919581
20260719_145127_668001,7,L_yellow,2.0,7.0,760.1610717773438,526.89404296875,-171.8656768798828,77.16024780273438,192.3016510009765,-171.83851753653215,77.31325434092787,190.59877314845107,1.7099536868824328,-171.94614816660788,77.43421789877543,190.6012583148329,1.7242014176431317,-171.80177193325105,77.36335501796792,190.76662355872458,1.5497243727677634,-171.7246103621763,77.36452872134657,190.82511765344358,1.4972578877747356
20260719_145127_668001,8,T,5.0,1.5,528.0736083984375,403.876220703125,-232.0867767333984,-33.33591842651367,189.0348815917968,-231.98561632450938,-33.45382925554692,190.04137939826674,1.0184175108268356,-231.91568210544665,-33.61785321463226,190.04256907139165,1.0602804595943827,-232.00285274921416,-33.488443033787796,189.87625879712138,0.8591988085334517,-231.9645513365811,-33.39753747572579,189.89570756104683,0.8716405819993867
20260719_145127_668001,9,z_blue,5.0,3.5,611.3365478515625,402.6890258789063,-232.0787658691406,7.01741886138916,189.9097442626953,-232.22181154232757,6.271077635392205,190.31912469107104,0.8631799495917679,-232.1261646676815,6.347921036438493,190.3209769372837,0.7871380414932987,-232.15879447597237,6.430796641631415,190.33648774981438,0.7298220402423335,-232.28260094873775,6.453079196326847,190.22904350045098,0.6796911066568221
20260719_145127_668001,10,z_green,4.5,5.0,674.5249633789062,422.929931640625,-222.139923095703,36.75831222534179,189.699737548828,-222.0814996092115,36.528879046646736,190.53799442227208,0.8710496387325821,-222.06226443235184,36.615515228115335,190.53951789794777,0.8553671055038853,-222.09254562660456,36.6946064677593,190.70490486287642,1.0082977622501312,-222.21676316710636,36.832336849004065,191.2527640121342,1.556687263778748
20260719_145127_668001,11,square,3.5,6.5,738.1994018554688,464.0882568359375,-202.1272583007812,66.950439453125,191.4087677001953,-202.0400753093459,66.88564090011674,190.61424821067342,0.8019108090665038,-202.0863716576241,67.03037427993702,190.61582320634224,0.7980114438139498,-202.05781282164048,67.05927353046093,190.6285623758382,0.7908146932865212,-201.9898548064649,67.24066286406484,191.03416172285287,0.49339536557265057
