平面,点数,法向X,法向Y,法向Z,平面常数d,正交RMSE,正交MAE,P95绝对距离,最大绝对距离,sigma3_over_sigma2,法向方差占比,奇异值比通过,平面判定通过
成功TCP平面,34,-0.000947576133161818,-0.010130051015415871,0.9999482407434382,-199.3477225154035,0.5549551179143669,0.46640041982887503,0.9784465832847842,1.2489272304161703,0.006851120195939534,6.503043330874655e-06,True,True
高位世界坐标平面,34,-0.0010452969535060998,-0.010151100085057816,0.9999479299050237,-7.591833527455901,0.5551038543182034,0.46404851732070246,0.998305174666656,1.281389294832346,0.0068616820576743644,6.5341487451439015e-06,True,True
