运行编号,任务序号,方块类别,高位世界坐标X,高位世界坐标Y,高位世界坐标Z,到高位世界拟合平面有符号距离,到高位世界拟合平面绝对距离
20260719_145127_668001,1,L_yellow,-364.1820216402865,-159.39569199369538,5.345312570246165,-0.24807930784561139,0.24807930784561139
20260719_145127_668001,2,T,-254.6787143383393,-180.38691212650983,4.942132295324711,-0.552618086177745,0.552618086177745
20260719_145127_668001,3,line,-237.3966807164294,206.0766932305688,10.156317412305045,0.7201999333809601,0.7201999333809601
20260719_145127_668001,4,z_green,-446.8722766263687,260.54953476278683,9.856851049362206,0.08675409960757641,0.08675409960757641
20260719_145127_668001,5,L_yellow,-316.5631594468664,-117.80719177882996,6.946517247739507,0.881097115119341,0.881097115119341
20260719_145127_668001,6,L_blue,-305.93376606928547,-169.8481166206549,6.127171103514343,0.5789553983988585,0.5789553983988585
20260719_145127_668001,7,L_yellow,-246.06625269960813,-146.45499839020934,5.754949941682639,-0.09329159563974931,0.09329159563974931
20260719_145127_668001,8,T,-247.5871876756686,280.23209613515144,9.874377230995549,-0.303832378129548,0.303832378129548
20260719_145127_668001,9,z_blue,-279.189710405274,176.90982498047006,9.477212930450094,0.3808927379468645,0.3808927379468645
20260719_145127_668001,10,z_green,-251.952689003558,-101.3171827504028,7.581771365164798,1.281389294832346,1.281389294832346
20260719_145127_668001,11,square,-346.1503927470093,-237.3887394304209,4.605723314288298,-0.21476322960070915,0.21476322960070915
20260719_145127_668001,12,L_blue,-380.3743072431145,267.2318221151092,10.53402500818612,0.6265501053979414,0.6265501053979414
20260719_145127_668001,13,line,-310.0545121849996,188.98306497282047,8.561261151373287,-0.6253051316761664,0.6253051316761664
20260719_145127_668001,14,square,-326.2752806103079,224.96109369519016,8.474424210234417,-1.0603986018126206,1.0603986018126206
20260719_145127_668001,15,z_green,-237.31865704257808,-225.0608811917718,5.062230728743543,0.0028176098785532844,0.0028176098785532844
20260719_145127_668001,16,z_blue,-425.4074112049429,-150.7646412198544,5.579132761588653,-0.037887238598009576,0.037887238598009576
20260719_145127_668001,17,T,-274.9419009664098,237.54057863667896,9.189350709598555,-0.5268635647536752,0.5268635647536752
20260719_145127_668001,18,line,-415.8870135968404,-188.3170836959565,4.704706223280141,-0.54102128603625,0.54102128603625
20260719_145127_668001,19,L_blue,-339.6220980812861,-201.89780156677065,4.420648879247267,-0.7669240966904822,0.7669240966904822
20260719_145127_668001,20,L_blue,-474.8319451870202,-240.47889460098816,4.200581927213023,-0.45400461177271456,0.45400461177271456
20260719_145127_668001,21,T,-380.4510650550951,216.2848687578159,9.760369536157214,0.3701827749486202,0.3701827749486202
20260719_145127_668001,22,square,-423.3023467895985,292.8890276822646,10.611946057795194,0.48889078499339345,0.48889078499339345
20260719_145127_668001,23,L_yellow,-373.4228505618326,168.73558791054108,8.936628936987859,0.021816005685314277,0.021816005685314277
20260719_145127_668001,24,T,-292.3784023184703,-240.7026719233085,4.37916825243002,-0.46387413208388306,0.46387413208388306
20260719_145127_668001,25,z_blue,-317.0222006621315,267.97549475064324,9.243809994446394,-0.7373685860845991,0.7373685860845991
20260719_145127_668001,26,line,-444.9578799382606,189.11819385510577,9.164831081491457,0.11787574302015336,0.11787574302015336
20260719_145127_668001,27,z_blue,-464.9122999898972,-119.79686490901298,5.623825434424077,-0.26625954976182875,0.26625954976182875
20260719_145127_668001,28,L_yellow,-464.93830450995017,-195.6112651391525,4.955850235951402,-0.1645732196321119,0.1645732196321119
20260719_145127_668001,29,z_green,-467.78008419177394,166.6611325785449,9.368135591064458,0.5729895237211695,0.5729895237211695
20260719_145127_668001,30,square,-426.1871232107411,-101.56608091202682,6.368244939684416,0.25257937121045515,0.25257937121045515
20260719_145127_668001,31,z_green,-364.065970917836,-105.52706053164631,7.105300950094147,0.9648702523572907,0.9648702523572907
20260719_145127_668001,32,line,-493.0461902335599,-164.5853780448156,5.9470049068604,0.5409640439531047,0.5409640439531047
20260719_145127_668001,33,z_blue,-487.5519382651506,230.97071043441,9.177158362517387,-0.2501232630381094,0.2501232630381094
20260719_145127_668001,34,L_blue,-410.71706539066906,224.2205038108993,8.857421297206656,-0.5816369151181291,0.5816369151181291
