模型,样本数,折数,CV三维RMSE,CV三维MAE,CV三维中位数,CV三维P95,CV三维最大误差,CV_X_RMSE,CV_Y_RMSE,CV_Z_RMSE,全数据训练RMSE
homography,34,5,1.1489194793492912,1.0264880181612321,0.9852046422871354,1.9186416032592406,2.7316202262979403,0.5919795997792442,0.7845898434447821,0.5949747062159403,1.0195444294651843
poly2,34,5,1.1767419823952918,1.0635419382117883,0.946492700613546,2.1165871478391933,2.35181454435425,0.5849243656368809,0.8305430456140958,0.5939557466663282,0.9295947739583269
poly3,34,5,1.2229087194786759,1.1035605245889417,1.042735833257614,2.1670152328216172,2.5916890784006203,0.6212397386998556,0.7354465016525928,0.7541123036021044,0.7812748663286699
affine,34,5,1.5484358329709056,1.358845840072981,1.2544055629073805,2.7176341870880854,3.790408375790532,0.7677514598943204,1.2039148096172012,0.5989994623059524,1.4575358432414651
