方块类别,任务序号,高位检测像素X,高位检测像素Y,实测TCP位置X,实测TCP位置Y,最终命令TCP位置X,最终命令TCP位置Y,零误差等效TCP位置X,零误差等效TCP位置Y,最终像素误差X,最终像素误差Y,静止像素误差均值X,静止像素误差均值Y,静止像素误差标准差X,静止像素误差标准差Y,静止采样有效帧数,静止采样请求帧数,静止采样完整
,1,519.6064453125,116.36256408691406,-370.1387939453125,-38.50666427612304,-370.1332649475492,-38.51061645431669,,,0.0224609375,0.1357421875,,,,,0,0,False
,2,761.4337158203125,508.5159912109375,-177.491470336914,79.74274444580078,-177.4942022339229,79.74246672456735,,,0.01483154296875,-0.014862060546875,,,,,0,0,False
,3,519.44287109375,137.04710388183594,-360.1998596191406,-38.63439559936523,-360.195777232526,-38.62890436421813,,,0.1270751953125,0.09222412109375,,,,,0,0,False
,4,683.5425415039062,117.59510803222656,-368.8309020996093,41.50569915771484,-368.8342426027672,41.50385264562782,,,-0.171142578125,-0.01141357421875,,,,,0,0,False
,5,620.3223266601562,302.1741027832031,-279.4398498535156,10.7667713165283,-279.442737296312,10.76678121167248,,,0.0997314453125,-0.28887939453125,,,,,0,0,False
,6,536.4508666992188,485.53369140625,-189.8139495849609,-30.16959190368652,-189.81795340254592,-30.16588304235872,,,0.0494384765625,-0.236114501953125,,,,,0,0,False
,7,703.1454467773438,200.5126037597656,-328.768585205078,51.16457748413086,-328.76343143645994,51.15398296812482,,,-0.01605224609375,0.13067626953125,,,,,0,0,False
,8,497.80224609375,259.98583984375,-300.5691528320312,-49.33762741088867,-300.57365680307146,-49.334257919455936,,,-0.124267578125,-0.130218505859375,,,,,0,0,False
,9,536.3049926757812,506.0163269042969,-179.7810974121093,-30.22554397583008,-179.78353376656145,-30.22371112015804,,,-0.040283203125,-0.040863037109375,,,,,0,0,False
,10,537.0640869140625,424.171142578125,-220.052291870117,-29.89214515686035,-220.05660121909412,-29.89185076454487,,,-0.07916259765625,-0.0736083984375,,,,,0,0,False
,11,598.192138671875,445.2563781738281,-209.3862915039062,0.134221687912941,-209.38840317307603,0.1331049512069528,,,0.08251953125,0.011474609375,,,,,0,0,False
,12,500.3714904785156,13.917237281799316,-420.0823669433593,-47.88818359375,-420.0793659284644,-47.88223545685096,,,-0.0673828125,0.20953369140625,,,,,0,0,False
,13,704.35498046875,97.07273864746094,-378.6786193847656,51.56137084960937,-378.6802892041025,51.5564896490468,,,-0.0010986328125,-0.159912109375,,,,,0,0,False
,14,822.669921875,529.8660888671875,-166.8629302978515,109.4930419921875,-166.86314993701302,109.48863927404236,,,0.07562255859375,-0.050933837890625,,,,,0,0,False
,15,804.1911010742188,345.1867980957031,-257.6799926757812,100.7940368652343,-257.67823965211744,100.78764891109704,,,-0.396240234375,-0.367218017578125,,,,,0,0,False
,16,784.3872680664062,263.008056640625,-298.0266723632812,90.89550018310548,-298.0304589903551,90.89335227605032,,,-0.0924072265625,-0.14447021484375,,,,,0,0,False
,17,705.30224609375,15.44919776916504,-418.5607299804687,52.03741455078125,-418.5555625140892,52.04212556871069,,,0.1649169921875,-0.0081787109375,,,,,0,0,False
