方块类别,高位检测像素X,高位检测像素Y,实测TCP位置X,实测TCP位置Y,affine_OOF二维误差_mm,homography_OOF二维误差_mm,poly2_OOF二维误差_mm,poly3_OOF二维误差_mm
square,991.0,359.0,-251.2560272216797,191.5765533447265,0.6636034467998673,0.6547204463403727,0.5158368868686188,0.7850354622359519
z_blue,915.0,223.0,-317.4261169433593,155.0103149414062,0.6459555423880271,0.7171608396469541,0.6964045485200826,0.3323014596111562
z_blue,1006.0,93.0,-380.8598022460937,199.021759033203,0.37116013928499175,0.5196478556898114,1.2949065939163773,1.5799875354115254
square,957.0,445.0,-208.8862915039062,174.6238708496093,0.4057271430902108,0.47852519541110666,0.4459883394320757,1.6147180526143796
L_yellow,910.0,82.0,-386.7987976074218,151.7045135498047,1.1092414112857512,0.9486760761848051,2.0836627813440693,1.1256123912702414
line,1051.0,165.0,-345.9645690917968,221.3314819335937,0.6734018723579507,0.6361825358239321,0.5257208511315897,0.6018148050965861
z_blue,1141.0,217.0,-319.5225524902343,264.7564697265625,0.4506301249000452,0.32191348985910756,0.33933571427043496,1.357461146533377
line,1061.0,266.0,-296.5979919433593,225.2525329589843,0.5640261702953819,0.6801700421743949,0.8329394271618664,0.8257105471123763
z_blue,1138.0,319.0,-269.9192504882812,262.8100280761718,0.4873889513086118,0.3888513598177245,0.24665432549265015,1.3836114090555982
line,897.0,427.0,-217.367431640625,145.3863372802734,0.6388251573967314,0.56778135884197,0.41316730061486623,1.1420428458895433
z_green,978.0,261.0,-298.7066040039062,185.642120361328,0.5360008520478157,0.4552616724219819,0.5691145555302279,0.1648122334700129
z_green,1075.0,534.0,-165.524215698242,232.3106079101562,0.9954551455419947,0.7439853055943916,1.8514845880232873,5.57706032399818
L_blue,1107.0,80.0,-387.039581298828,248.1791076660156,0.336325323026027,0.39241941341305414,0.8733738341097521,3.670527082595492
z_green,1053.0,417.0,-221.8955841064453,221.5441741943359,0.5159507354418233,0.5896121834155608,0.8106677830417581,1.3746657748959905
